asunto,area_destino
Proyecto de resolución legal,Oficina General de Asesoría Jurídica
Aprobación de presupuesto anual,Concejo Municipal
Resolución de nulidad de oficio,Oficina General de Asesoría Jurídica
Compra de uniformes para personal,Oficina General de Administración
Perfil de proyecto de inversión,Oficina General de Planeamiento y Presupuesto
Recojo de residuos sólidos,Gerencia de Servicios Municipales y Gestión Ambiental
Cobranza coactiva de deudas,Oficina General de Asesoría Jurídica
Verificación de padrón de contribuyentes,Gerencia de Desarrollo Económico y Administración Tributaria
Registro de solicitudes,Oficina General de Atención al Ciudadano y Gestión Documental
Consulta previa de proyecto,Gerencia de Desarrollo del Pueblo Asháninka
Revaluación de predio,Gerencia de Desarrollo Económico y Administración Tributaria
Taller de capacitación juvenil,Gerencia de Desarrollo Social
Defensoría del niño y adolescente,Gerencia de Desarrollo Social
Presentación de documentos,Oficina General de Atención al Ciudadano y Gestión Documental
Donación de bienes municipales,Alcaldia
Informe de cumplimiento de metas,Oficina General de Planeamiento y Presupuesto
Paquete de ayuda humanitaria,Gerencia de Desarrollo Social
Solicitud de audiencia con el alcalde,Alcaldia
Conformación de comisión ordinaria,Concejo Municipal
Inventario de patrimonio cultural,Gerencia de Desarrollo del Pueblo Asháninka
Certificado de parámetros urbanísticos,Gerencia de Desarrollo Territorial e Infraestructura
Mantenimiento de areas verdes,Gerencia de Servicios Municipales y Gestión Ambiental
Denuncia de contaminación sonora,Gerencia de Servicios Municipales y Gestión Ambiental
Mantenimiento de areas verdes,Gerencia de Servicios Municipales y Gestión Ambiental
Declaratoria de viabilidad,Oficina General de Planeamiento y Presupuesto
Cuna mas,Gerencia de Desarrollo Social
Reclamo de arbitrios municipales,Gerencia de Desarrollo Económico y Administración Tributaria
Nombramiento de funcionario,Alcaldia
Inventario de activos fijos,Oficina General de Administración
Solicitud de ordenanza municipal,Concejo Municipal
Fiscalización de actividad comercial,Gerencia de Desarrollo Económico y Administración Tributaria
Programa de becas interculturales,Gerencia de Desarrollo del Pueblo Asháninka
Programación de metas presupuestales,Oficina General de Planeamiento y Presupuesto
Constitución de comité de selección,Oficina General de Asesoría Jurídica
Solicitud de pasajes y viáticos,Oficina General de Administración
Licencia de funcionamiento renovación,Gerencia de Desarrollo Económico y Administración Tributaria
Padrón de contribuyentes,Gerencia de Desarrollo Económico y Administración Tributaria
Vaso de leche,Gerencia de Desarrollo Social
Dictamen de comisión,Concejo Municipal
Ventanilla de atención al publico,Oficina General de Atención al Ciudadano y Gestión Documental
Campaña de prevención de violencia,Gerencia de Desarrollo Social
Permiso para terraza,Gerencia Municipal
Consulta previa de proyecto,Gerencia de Desarrollo del Pueblo Asháninka
Solicitud de licencia de regidor,Concejo Municipal
Recepción de documentos,Oficina General de Atención al Ciudadano y Gestión Documental
Registro de saberes ancestrales,Gerencia de Desarrollo del Pueblo Asháninka
Solicitud de poda de arboles,Gerencia de Servicios Municipales y Gestión Ambiental
Conexión de agua y desagüe,Gerencia de Desarrollo Territorial e Infraestructura
Padrón de contribuyentes,Gerencia de Desarrollo Económico y Administración Tributaria
Solicitud de poda de arboles,Gerencia de Servicios Municipales y Gestión Ambiental
Ventanilla de atención al publico,Oficina General de Atención al Ciudadano y Gestión Documental
Seguimiento de expediente,Oficina General de Atención al Ciudadano y Gestión Documental
Campaña de prevención de violencia,Gerencia de Desarrollo Social
Programa de alimentación escolar,Gerencia de Desarrollo Social
Permiso para ampliación de local,Gerencia Municipal
Necesito mi certificado de domicilio,Oficina General de Atención al Ciudadano y Gestión Documental
Fraccionamiento de deuda,Gerencia de Desarrollo Económico y Administración Tributaria
Permiso para cierre de calle,Gerencia Municipal
Registro de comunidad nativa,Gerencia de Desarrollo del Pueblo Asháninka
Registro de comunidad nativa,Gerencia de Desarrollo del Pueblo Asháninka
Programación de metas presupuestales,Oficina General de Planeamiento y Presupuesto
Los vecinos botan basura en la esquina,Gerencia de Servicios Municipales y Gestión Ambiental
Rendición de gastos de viaje,Oficina General de Administración
Conformación de comisión ordinaria,Concejo Municipal
Solicitud de ordenanza municipal,Concejo Municipal
Duplicado de licencia,Gerencia Municipal
Declaración de feriado local,Alcaldia
Alquiler de local municipal,Oficina General de Administración
Quiero abrir un negocio,Gerencia Municipal
Constancia de presentación,Oficina General de Atención al Ciudadano y Gestión Documental
Monitoreo de calidad del aire,Gerencia de Servicios Municipales y Gestión Ambiental
Emisión de recibo de pago,Gerencia de Desarrollo Económico y Administración Tributaria
Baja de bienes muebles,Oficina General de Administración
Nombramiento de funcionario,Alcaldia
Propuesta de resolución de concejo,Concejo Municipal
Licencia de funcionamiento renovación,Gerencia de Desarrollo Económico y Administración Tributaria
Informe de cumplimiento de metas,Oficina General de Planeamiento y Presupuesto
Inscripción a programa de adulto mayor,Gerencia de Desarrollo Social
Recojo de residuos sólidos,Gerencia de Servicios Municipales y Gestión Ambiental
Presupuesto participativo,Oficina General de Planeamiento y Presupuesto
Supervisión de obra municipal,Gerencia de Desarrollo Territorial e Infraestructura
Constancia de presentación,Oficina General de Atención al Ciudadano y Gestión Documental
Vacunación canina,Gerencia de Desarrollo Social
Limpieza de rio y canales,Gerencia de Servicios Municipales y Gestión Ambiental
Emprendimiento juvenil,Gerencia de Desarrollo Económico y Administración Tributaria
Estudio de preinversión,Oficina General de Planeamiento y Presupuesto
Consulta de requisitos,Gerencia Municipal
Solicitud de declaración de emergencia,Alcaldia
Propuesta de acuerdo de concejo,Concejo Municipal
Aprobación de presupuesto anual,Concejo Municipal
Propuesta de resolución de concejo,Concejo Municipal
Resolución de alcaldía,Alcaldia
Moción de orden del día,Concejo Municipal
Duplicado de licencia,Gerencia Municipal
Mi licencia esta por vencer,Gerencia Municipal
Estudio de preinversión,Oficina General de Planeamiento y Presupuesto
Reposición de bienes patrimoniales,Oficina General de Administración
Revaluación de predio,Gerencia de Desarrollo Económico y Administración Tributaria
Alquiler de local municipal,Oficina General de Administración
Solicitud de licencia de regidor,Concejo Municipal
Dictamen de comisión,Concejo Municipal
Proyecto de desarrollo comunal,Gerencia de Desarrollo del Pueblo Asháninka
Fraccionamiento de deuda,Gerencia de Desarrollo Económico y Administración Tributaria
Solicitud de programa social,Gerencia de Desarrollo Social
Permiso para vender en la calle,Gerencia Municipal
Reconocimiento de comunidad campesina,Gerencia de Desarrollo del Pueblo Asháninka
Opinión legal sobre licitación,Oficina General de Asesoría Jurídica
Fumigación de zonas,Gerencia de Servicios Municipales y Gestión Ambiental
Pago de servicio de agua y luz,Oficina General de Administración
Emisión de recibo de pago,Gerencia de Desarrollo Económico y Administración Tributaria
Reconocimiento a ciudadano distinguido,Alcaldia
Convenio de cooperación interinstitucional,Alcaldia
Resolución de habilitación urbana,Gerencia de Desarrollo Territorial e Infraestructura
Informe de ejecución presupuestal,Oficina General de Planeamiento y Presupuesto
Resolución de alcaldía,Alcaldia
Campaña de reciclaje,Gerencia de Servicios Municipales y Gestión Ambiental
Instalación de contenedores de basura,Gerencia de Servicios Municipales y Gestión Ambiental
Asignación de recursos por resultados,Oficina General de Planeamiento y Presupuesto
Solicitud de informe de comisión,Concejo Municipal
Educación ambiental,Gerencia de Servicios Municipales y Gestión Ambiental
Refugio para personas en situación de calle,Gerencia de Desarrollo Social
Feria dominical de productores,Gerencia de Desarrollo Económico y Administración Tributaria
Pago de servicio de agua y luz,Oficina General de Administración
Alta de equipos informáticos,Oficina General de Administración
Conformación de comisión ordinaria,Concejo Municipal
Solicitud de apoyo psicológico,Gerencia de Desarrollo Social
Inventario de activos fijos,Oficina General de Administración
Alquiler de local municipal,Oficina General de Administración
Programación de metas presupuestales,Oficina General de Planeamiento y Presupuesto
Mi licencia esta por vencer,Gerencia Municipal
Duplicado de licencia,Gerencia Municipal
Compra de uniformes para personal,Oficina General de Administración
Autorización de publicidad,Gerencia Municipal
Conformación de comisión ordinaria,Concejo Municipal
Regularización de edificación,Gerencia de Desarrollo Territorial e Infraestructura
Programa de gobierno abierto,Alcaldia
Reforestación urbana,Gerencia de Servicios Municipales y Gestión Ambiental
Resolución de alcaldía,Alcaldia
Evaluación de indicadores de gestión,Oficina General de Planeamiento y Presupuesto
Recojo de residuos sólidos,Gerencia de Servicios Municipales y Gestión Ambiental
Evaluación de indicadores de gestión,Oficina General de Planeamiento y Presupuesto
Monitoreo de proyectos,Oficina General de Planeamiento y Presupuesto
Proceso contencioso administrativo,Oficina General de Asesoría Jurídica
Conformidad de servicio prestado,Oficina General de Administración
Presupuesto participativo,Oficina General de Planeamiento y Presupuesto
Recepción de obra,Gerencia de Desarrollo Territorial e Infraestructura
Cargo de asistencia a sesión,Concejo Municipal
Preservación de lengua materna,Gerencia de Desarrollo del Pueblo Asháninka
Fumigación de zonas,Gerencia de Servicios Municipales y Gestión Ambiental
Presupuesto de apertura,Oficina General de Planeamiento y Presupuesto
Bono familiar universal,Gerencia de Desarrollo Social
Inspección técnica de obra,Gerencia de Desarrollo Territorial e Infraestructura
Presupuesto participativo,Oficina General de Planeamiento y Presupuesto
Campaña de prevención de violencia,Gerencia de Desarrollo Social
Construcción de losa deportiva,Gerencia de Desarrollo Territorial e Infraestructura
Solicitud de declaración de emergencia,Alcaldia
Programa de formalización de empresas,Gerencia de Desarrollo Económico y Administración Tributaria
Vacunación canina,Gerencia de Desarrollo Social
Educación ambiental,Gerencia de Servicios Municipales y Gestión Ambiental
Orden de compra menor,Oficina General de Administración
Campaña de salud gratuita,Gerencia de Desarrollo Social
Inventario de patrimonio cultural,Gerencia de Desarrollo del Pueblo Asháninka
Aprobación de presupuesto anual,Concejo Municipal
Pago de servicio de agua y luz,Oficina General de Administración
Solicitud de poda de arboles,Gerencia de Servicios Municipales y Gestión Ambiental
Reporte de acumulación de basura,Gerencia de Servicios Municipales y Gestión Ambiental
Mantenimiento de cementerio,Gerencia de Servicios Municipales y Gestión Ambiental
Revalidación de permiso,Gerencia Municipal
Solicitud de medico intercultural,Gerencia de Desarrollo del Pueblo Asháninka
Denuncia por infracción municipal,Oficina General de Asesoría Jurídica
Fraccionamiento de deuda,Gerencia de Desarrollo Económico y Administración Tributaria
Conformación de comisión ordinaria,Concejo Municipal
Necesito permiso para mi restaurante,Gerencia Municipal
Registro de saberes ancestrales,Gerencia de Desarrollo del Pueblo Asháninka
Feria de productos nativos,Gerencia de Desarrollo del Pueblo Asháninka
Solicito recibo de arbitrios,Gerencia de Desarrollo Económico y Administración Tributaria
Consulta previa de proyecto,Gerencia de Desarrollo del Pueblo Asháninka
Programa de alimentación escolar,Gerencia de Desarrollo Social
Feria dominical de productores,Gerencia de Desarrollo Económico y Administración Tributaria
Mantenimiento de areas verdes,Gerencia de Servicios Municipales y Gestión Ambiental
Solicitud de intérprete,Gerencia de Desarrollo del Pueblo Asháninka
Club de madres,Gerencia de Desarrollo Social
Dictamen de comisión,Concejo Municipal
Programa de formalización de empresas,Gerencia de Desarrollo Económico y Administración Tributaria
Evaluación presupuestal trimestral,Oficina General de Planeamiento y Presupuesto
Solicitud de declaración de emergencia,Alcaldia
Propuesta de acuerdo de concejo,Concejo Municipal
Alta de equipos informáticos,Oficina General de Administración
Cobranza de deuda tributaria,Gerencia de Desarrollo Económico y Administración Tributaria
Solicitud de audiencia con el alcalde,Alcaldia
Asignación de recursos por resultados,Oficina General de Planeamiento y Presupuesto
Saludo protocolar por aniversario,Alcaldia
Inventario de activos fijos,Oficina General de Administración
Necesito mi certificado de domicilio,Oficina General de Atención al Ciudadano y Gestión Documental
Comunicado oficial de alcaldía,Alcaldia
Cambio de giro comercial,Gerencia Municipal
Solicitud de mesa de partes virtual,Oficina General de Atención al Ciudadano y Gestión Documental
Declaración de sesión reservada,Concejo Municipal
Servicio de fotocopiado,Oficina General de Administración
Solicitud de licencia de regidor,Concejo Municipal
Pago de impuesto predial,Gerencia de Desarrollo Económico y Administración Tributaria
Informe de ejecución presupuestal,Oficina General de Planeamiento y Presupuesto
Defensoría del niño y adolescente,Gerencia de Desarrollo Social
Certificación de crédito presupuestario,Oficina General de Planeamiento y Presupuesto
Programa de becas interculturales,Gerencia de Desarrollo del Pueblo Asháninka
Fumigación de zonas,Gerencia de Servicios Municipales y Gestión Ambiental
Revisión de convenio interinstitucional,Oficina General de Asesoría Jurídica
Club de madres,Gerencia de Desarrollo Social
Contratación de servicio de limpieza,Oficina General de Administración
Permiso de demolición,Gerencia de Desarrollo Territorial e Infraestructura
Revisión de contrato de obra,Oficina General de Asesoría Jurídica
Hay basura acumulada en mi calle,Gerencia de Servicios Municipales y Gestión Ambiental
Rehabilitación de parque,Gerencia de Desarrollo Territorial e Infraestructura
Construcción de losa deportiva,Gerencia de Desarrollo Territorial e Infraestructura
Alquiler de local municipal,Oficina General de Administración
Recepción de obra,Gerencia de Desarrollo Territorial e Infraestructura
Autorización de funcionamiento,Gerencia Municipal
Manejo de residuos peligrosos,Gerencia de Servicios Municipales y Gestión Ambiental
Proyecto de desarrollo comunal,Gerencia de Desarrollo del Pueblo Asháninka
Inventario de patrimonio cultural,Gerencia de Desarrollo del Pueblo Asháninka
Informe de ejecución presupuestal,Oficina General de Planeamiento y Presupuesto
Mantenimiento de cementerio,Gerencia de Servicios Municipales y Gestión Ambiental
Certificado de parámetros urbanísticos,Gerencia de Desarrollo Territorial e Infraestructura
Solicitud de material de oficina,Oficina General de Administración
Ventanilla de atención al publico,Oficina General de Atención al Ciudadano y Gestión Documental
Cargo de asistencia a sesión,Concejo Municipal
Cuna mas,Gerencia de Desarrollo Social
Construcción de vereda,Gerencia de Desarrollo Territorial e Infraestructura
Declaración jurada,Oficina General de Atención al Ciudadano y Gestión Documental
Declaración jurada,Oficina General de Atención al Ciudadano y Gestión Documental
Refugio para personas en situación de calle,Gerencia de Desarrollo Social
Supervisión de obra municipal,Gerencia de Desarrollo Territorial e Infraestructura
Solicitud de modificación presupuestal,Oficina General de Planeamiento y Presupuesto
Recepción de obra,Gerencia de Desarrollo Territorial e Infraestructura
Resolución de alcaldía,Alcaldia
Reconocimiento a ciudadano distinguido,Alcaldia
Permiso para terraza,Gerencia Municipal
Reclamo de arbitrios municipales,Gerencia de Desarrollo Económico y Administración Tributaria
Feria dominical de productores,Gerencia de Desarrollo Económico y Administración Tributaria
Programa intercultural bilingüe,Gerencia de Desarrollo del Pueblo Asháninka
Apoyo para persona con discapacidad,Gerencia de Desarrollo Social
Conexión de agua y desagüe,Gerencia de Desarrollo Territorial e Infraestructura
Donación de bienes municipales,Alcaldia
Constitución de comité de selección,Oficina General de Asesoría Jurídica
Mantenimiento de areas verdes,Gerencia de Servicios Municipales y Gestión Ambiental
Conformidad de servicio prestado,Oficina General de Administración
Solicitud de poda de arboles,Gerencia de Servicios Municipales y Gestión Ambiental
Solicitud de programa social,Gerencia de Desarrollo Social
Hay basura acumulada en mi calle,Gerencia de Servicios Municipales y Gestión Ambiental
Solicitud de programa social,Gerencia de Desarrollo Social
Acción de amparo,Oficina General de Asesoría Jurídica
Proyecto de desarrollo comunal,Gerencia de Desarrollo del Pueblo Asháninka
Campaña de prevención de violencia,Gerencia de Desarrollo Social
Fumigación de zonas,Gerencia de Servicios Municipales y Gestión Ambiental
Solicitud de certificado domiciliario,Oficina General de Atención al Ciudadano y Gestión Documental
Mantenimiento de cementerio,Gerencia de Servicios Municipales y Gestión Ambiental
Visto bueno de planos,Gerencia de Desarrollo Territorial e Infraestructura
Solicito información de mis documentos,Oficina General de Atención al Ciudadano y Gestión Documental
Orientación sobre trámites,Oficina General de Atención al Ciudadano y Gestión Documental
Recojo de residuos sólidos,Gerencia de Servicios Municipales y Gestión Ambiental
Contratación de servicio de limpieza,Oficina General de Administración
Autorización de funcionamiento,Gerencia Municipal
Padrón de contribuyentes,Gerencia de Desarrollo Económico y Administración Tributaria
Conciliación extrajudicial,Oficina General de Asesoría Jurídica
Quiero abrir un negocio,Gerencia Municipal
Declaratoria de viabilidad,Oficina General de Planeamiento y Presupuesto
Conexión domiciliaria de agua,Gerencia de Desarrollo Territorial e Infraestructura
Padrón de contribuyentes,Gerencia de Desarrollo Económico y Administración Tributaria
Solicitud de ordenanza municipal,Concejo Municipal
Solicitud de adicional de obra,Oficina General de Planeamiento y Presupuesto
Declaración de sesión reservada,Concejo Municipal
Permiso para terraza,Gerencia Municipal
Conexión domiciliaria de agua,Gerencia de Desarrollo Territorial e Infraestructura
Proceso de selección de personal CAS,Oficina General de Administración
Feria de productos nativos,Gerencia de Desarrollo del Pueblo Asháninka
Proyecto de desarrollo comunal,Gerencia de Desarrollo del Pueblo Asháninka
Mantenimiento de pistas y veredas,Gerencia de Desarrollo Territorial e Infraestructura
